"たけくらべ","たけくらべ"
"源氏物語","源氏物語"
"源頼朝","源頼朝"
"五千円札","五千円札"
"市川房枝","市川房枝"
"紫式部","紫式部"
"邪馬台国","邪馬台国"
"承久の乱","承久の乱"
"清少納言","清少納言"
"津田梅子","津田梅子"
"尼将軍","尼将軍"
"日露","日露"
"卑弥呼","卑弥呼"
"樋口一葉","樋口一葉"
"平塚らいてう","平塚らいてう"
"北条政子","北条政子"
"枕草子","枕草子"
"与謝野晶子","与謝野晶子"
"11月3日","11月3日"
"25","25"
"3分の2","3分の2"
"5月3日","5月3日"
"9","9"
"プライバシー","プライバシー"
"永久","永久"
"過半数","過半数"
"基本的人権","基本的人権"
"基本的人権の尊重","基本的人権の尊重"
"勤労","勤労"
"経済活動","経済活動"
"健康で文化的な最低限度","健康で文化的な最低限度"
"憲法","憲法"
"憲法改正","憲法改正"
"公布","公布"
"国の政治","国の政治"
"国の政治のあり方","国の政治のあり方"
"国会","国会"
"国事行為","国事行為"
"国民","国民"
"国民主権","国民主権"
"国民投票","国民投票"
"最高裁判所の長たる裁判官","最高裁判所の長たる裁判官"
"最高法規","最高法規"
"裁判","裁判"
"財産権","財産権"
"子どもに教育をうけさせる","子どもに教育をうけさせる"
"指名","指名"
"施行","施行"
"自由権","自由権"
"主権","主権"
"助言と承認","助言と承認"
"象徴","象徴"
"条約","条約"
"信教","信教"
"生存権","生存権"
"精神","精神"
"請求権","請求権"
"戦争放棄","戦争放棄"
"前文","前文"
"総議員","総議員"
"大日本帝国","大日本帝国"
"団結権","団結権"
"団体交渉権","団体交渉権"
"団体行動権","団体行動権"
"知る権利","知る権利"
"天皇","天皇"
"内閣","内閣"
"内閣総理大臣","内閣総理大臣"
"日本国","日本国"
"日本国憲法","日本国憲法"
"日本国民統合","日本国民統合"
"任命","任命"
"納税","納税"
"発議","発議"
"平和主義","平和主義"
"労働三権","労働三権"
